ticker,description
# data center cooling,
MOD,Defense Electronics
POWEL,Electrical Equipment
VRT,Cooling
NVT,Electrification
2308,
TT,
SU,
#data center construction,
EQUIX,Infrastructure Investment
CAT,Construction Machinery
MTZ,Construction Machinery
J,Construction Machinery
ACA,Construction Products
STN,Construction &amp; Engineering
PRIM,Construction Services
STRL,Construction &amp; Infrastructure
FIX,Construction &amp; Engineering
PWR,Engineering &amp; Construction
ACA,Construction Products
PRIM,Construction Services
PLPC,Electrical Components
PSIX,Electrical Equipment
AMRC,Industrial Refrigeration
MYR,Electrical Contractors
HUBB,Electrical Equipment
VMI,Electrical Equipment
IESC,Electrical Services
EMCOR,Electrical &amp; Mechanical
EBS,Defense Equipment
ITRI,Industrial Automation
DLR,Data Center REIT
QTS,Data Center REIT
IRM,Data Center REIT
AME,Industrial Machinery
GEV,GE Vernova Energy
ANET,Networking Equipment
EMR,Automation Equipment
TLN,Telecom Infrastructure
NEE,Utility - Electric Power
ETR,Utility - Electric Power
#nuclear,
CCJ,Uranium Mining
UUUU,Uranium Mining
DNN,Uranium Exploration
UEC,Uranium Mining
BWXT,Nuclear
CW,Nuclear Equipment
HTHY,Hydrogen Energy
RYCEY,Rolls-Royce Holdings ADR
SO,Utility - Electric Power
FSLR,Solar Panels
ORA,Solar &amp; Wind Energy
WWD,Aerospace &amp; Defense
CEG,Nuclear Energy
WLDN,Energy Management
